split_type,direction,window_s,input_group,true_class,predicted_class,count
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCA,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,LOCAC,16
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LOCAC,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,LR,6
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,LR,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,MD,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,LOCAC,1
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,SGATR,5
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,SLBIC,1
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RI,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,RW,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,SGATR,9
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGATR,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,SGBTR,11
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SGBTR,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,SLBIC,18
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBIC,SLBOC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,FLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,LLB,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,LOCA,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,LOCAC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,LR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,MD,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,RI,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,RW,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,SGATR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,SGBTR,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,SLBIC,0
severity_extrapolation,low_train_to_high_test,120,A_absolute_38,SLBOC,SLBOC,0
severity_extrapolation,high_train_to_low_test,120,A_absolute_38,FLB,FLB,20
