split_type,split_id,window_s,input_group,accident_class,support,recall
random,seed_20261930,90,B_relative_change,LOCAC,16,0.0
random,seed_20261930,90,B_relative_change,LOCA,15,1.0
random,seed_20261930,90,B_relative_change,LR,5,0.0
random,seed_20261930,90,B_relative_change,RI,7,1.0
random,seed_20261930,90,B_relative_change,SGATR,9,0.0
random,seed_20261930,90,B_relative_change,SGBTR,11,0.0
random,seed_20261930,90,B_relative_change,SLBIC,18,0.05555555555555555
random,seed_20261930,90,C_train_only_screened,FLB,20,1.0
random,seed_20261930,90,C_train_only_screened,LOCAC,16,0.0
random,seed_20261930,90,C_train_only_screened,LOCA,15,1.0
random,seed_20261930,90,C_train_only_screened,LR,5,0.0
random,seed_20261930,90,C_train_only_screened,RI,7,1.0
random,seed_20261930,90,C_train_only_screened,SGATR,9,0.0
random,seed_20261930,90,C_train_only_screened,SGBTR,11,0.0
random,seed_20261930,90,C_train_only_screened,SLBIC,18,0.05555555555555555
random,seed_20261930,120,A_absolute_38,FLB,20,1.0
random,seed_20261930,120,A_absolute_38,LOCAC,16,0.9375
random,seed_20261930,120,A_absolute_38,LOCA,15,1.0
random,seed_20261930,120,A_absolute_38,LR,5,1.0
random,seed_20261930,120,A_absolute_38,RI,7,1.0
random,seed_20261930,120,A_absolute_38,SGATR,9,1.0
random,seed_20261930,120,A_absolute_38,SGBTR,11,1.0
random,seed_20261930,120,A_absolute_38,SLBIC,18,1.0
random,seed_20261930,120,B_relative_change,FLB,20,1.0
random,seed_20261930,120,B_relative_change,LOCAC,16,0.9375
random,seed_20261930,120,B_relative_change,LOCA,15,1.0
random,seed_20261930,120,B_relative_change,LR,5,1.0
random,seed_20261930,120,B_relative_change,RI,7,1.0
random,seed_20261930,120,B_relative_change,SGATR,9,1.0
random,seed_20261930,120,B_relative_change,SGBTR,11,1.0
random,seed_20261930,120,B_relative_change,SLBIC,18,1.0
random,seed_20261930,120,C_train_only_screened,FLB,20,1.0
random,seed_20261930,120,C_train_only_screened,LOCAC,16,0.9375
random,seed_20261930,120,C_train_only_screened,LOCA,15,1.0
random,seed_20261930,120,C_train_only_screened,LR,5,1.0
random,seed_20261930,120,C_train_only_screened,RI,7,1.0
random,seed_20261930,120,C_train_only_screened,SGATR,9,1.0
random,seed_20261930,120,C_train_only_screened,SGBTR,11,1.0
random,seed_20261930,120,C_train_only_screened,SLBIC,18,1.0
random,seed_20262939,60,A_absolute_38,FLB,20,1.0
random,seed_20262939,60,A_absolute_38,LOCAC,16,0.0
random,seed_20262939,60,A_absolute_38,LOCA,15,1.0
random,seed_20262939,60,A_absolute_38,LR,5,0.0
random,seed_20262939,60,A_absolute_38,RI,7,1.0
random,seed_20262939,60,A_absolute_38,SGATR,9,0.0
random,seed_20262939,60,A_absolute_38,SGBTR,11,0.0
random,seed_20262939,60,A_absolute_38,SLBIC,18,0.16666666666666666
random,seed_20262939,60,B_relative_change,FLB,20,1.0
random,seed_20262939,60,B_relative_change,LOCAC,16,0.0
random,seed_20262939,60,B_relative_change,LOCA,15,1.0
random,seed_20262939,60,B_relative_change,LR,5,0.0
random,seed_20262939,60,B_relative_change,RI,7,1.0
random,seed_20262939,60,B_relative_change,SGATR,9,0.0
random,seed_20262939,60,B_relative_change,SGBTR,11,0.0
random,seed_20262939,60,B_relative_change,SLBIC,18,0.16666666666666666
random,seed_20262939,60,C_train_only_screened,FLB,20,1.0
random,seed_20262939,60,C_train_only_screened,LOCAC,16,0.0
random,seed_20262939,60,C_train_only_screened,LOCA,15,1.0
random,seed_20262939,60,C_train_only_screened,LR,5,0.0
random,seed_20262939,60,C_train_only_screened,RI,7,1.0
random,seed_20262939,60,C_train_only_screened,SGATR,9,0.0
random,seed_20262939,60,C_train_only_screened,SGBTR,11,0.0
random,seed_20262939,60,C_train_only_screened,SLBIC,18,0.16666666666666666
random,seed_20262939,90,A_absolute_38,FLB,20,1.0
random,seed_20262939,90,A_absolute_38,LOCAC,16,0.0
random,seed_20262939,90,A_absolute_38,LOCA,15,1.0
random,seed_20262939,90,A_absolute_38,LR,5,0.0
random,seed_20262939,90,A_absolute_38,RI,7,1.0
random,seed_20262939,90,A_absolute_38,SGATR,9,0.0
random,seed_20262939,90,A_absolute_38,SGBTR,11,0.0
random,seed_20262939,90,A_absolute_38,SLBIC,18,0.16666666666666666
random,seed_20262939,90,B_relative_change,FLB,20,1.0
random,seed_20262939,90,B_relative_change,LOCAC,16,0.0
random,seed_20262939,90,B_relative_change,LOCA,15,1.0
random,seed_20262939,90,B_relative_change,LR,5,0.0
random,seed_20262939,90,B_relative_change,RI,7,1.0
random,seed_20262939,90,B_relative_change,SGATR,9,0.0
random,seed_20262939,90,B_relative_change,SGBTR,11,0.0
random,seed_20262939,90,B_relative_change,SLBIC,18,0.16666666666666666
random,seed_20262939,90,C_train_only_screened,FLB,20,1.0
random,seed_20262939,90,C_train_only_screened,LOCAC,16,0.0
random,seed_20262939,90,C_train_only_screened,LOCA,15,1.0
random,seed_20262939,90,C_train_only_screened,LR,5,0.0
random,seed_20262939,90,C_train_only_screened,RI,7,1.0
random,seed_20262939,90,C_train_only_screened,SGATR,9,0.0
random,seed_20262939,90,C_train_only_screened,SGBTR,11,0.0
random,seed_20262939,90,C_train_only_screened,SLBIC,18,0.16666666666666666
random,seed_20262939,120,A_absolute_38,FLB,20,1.0
random,seed_20262939,120,A_absolute_38,LOCAC,16,0.875
random,seed_20262939,120,A_absolute_38,LOCA,15,0.8666666666666667
random,seed_20262939,120,A_absolute_38,LR,5,1.0
random,seed_20262939,120,A_absolute_38,RI,7,1.0
random,seed_20262939,120,A_absolute_38,SGATR,9,1.0
random,seed_20262939,120,A_absolute_38,SGBTR,11,1.0
random,seed_20262939,120,A_absolute_38,SLBIC,18,1.0
random,seed_20262939,120,B_relative_change,FLB,20,1.0
random,seed_20262939,120,B_relative_change,LOCAC,16,0.875
random,seed_20262939,120,B_relative_change,LOCA,15,0.8666666666666667
random,seed_20262939,120,B_relative_change,LR,5,1.0
random,seed_20262939,120,B_relative_change,RI,7,1.0
random,seed_20262939,120,B_relative_change,SGATR,9,1.0
random,seed_20262939,120,B_relative_change,SGBTR,11,1.0
random,seed_20262939,120,B_relative_change,SLBIC,18,1.0
random,seed_20262939,120,C_train_only_screened,FLB,20,1.0
random,seed_20262939,120,C_train_only_screened,LOCAC,16,0.875
random,seed_20262939,120,C_train_only_screened,LOCA,15,0.8666666666666667
random,seed_20262939,120,C_train_only_screened,LR,5,1.0
random,seed_20262939,120,C_train_only_screened,RI,7,1.0
random,seed_20262939,120,C_train_only_screened,SGATR,9,1.0
random,seed_20262939,120,C_train_only_screened,SGBTR,11,1.0
random,seed_20262939,120,C_train_only_screened,SLBIC,18,1.0
random,seed_20263948,60,A_absolute_38,FLB,20,1.0
random,seed_20263948,60,A_absolute_38,LOCAC,16,0.0
random,seed_20263948,60,A_absolute_38,LOCA,15,1.0
random,seed_20263948,60,A_absolute_38,LR,5,0.0
random,seed_20263948,60,A_absolute_38,RI,7,1.0
random,seed_20263948,60,A_absolute_38,SGATR,9,0.0
random,seed_20263948,60,A_absolute_38,SGBTR,11,0.0
random,seed_20263948,60,A_absolute_38,SLBIC,18,0.16666666666666666
random,seed_20263948,60,B_relative_change,FLB,20,1.0
random,seed_20263948,60,B_relative_change,LOCAC,16,0.0
random,seed_20263948,60,B_relative_change,LOCA,15,1.0
random,seed_20263948,60,B_relative_change,LR,5,0.0
random,seed_20263948,60,B_relative_change,RI,7,1.0
random,seed_20263948,60,B_relative_change,SGATR,9,0.0
random,seed_20263948,60,B_relative_change,SGBTR,11,0.0
random,seed_20263948,60,B_relative_change,SLBIC,18,0.16666666666666666
random,seed_20263948,60,C_train_only_screened,FLB,20,1.0
random,seed_20263948,60,C_train_only_screened,LOCAC,16,0.0
random,seed_20263948,60,C_train_only_screened,LOCA,15,1.0
random,seed_20263948,60,C_train_only_screened,LR,5,0.0
random,seed_20263948,60,C_train_only_screened,RI,7,1.0
random,seed_20263948,60,C_train_only_screened,SGATR,9,0.0
random,seed_20263948,60,C_train_only_screened,SGBTR,11,0.0
random,seed_20263948,60,C_train_only_screened,SLBIC,18,0.16666666666666666
random,seed_20263948,90,A_absolute_38,FLB,20,1.0
random,seed_20263948,90,A_absolute_38,LOCAC,16,0.0
random,seed_20263948,90,A_absolute_38,LOCA,15,1.0
random,seed_20263948,90,A_absolute_38,LR,5,0.0
random,seed_20263948,90,A_absolute_38,RI,7,1.0
random,seed_20263948,90,A_absolute_38,SGATR,9,0.0
random,seed_20263948,90,A_absolute_38,SGBTR,11,0.0
random,seed_20263948,90,A_absolute_38,SLBIC,18,0.16666666666666666
random,seed_20263948,90,B_relative_change,FLB,20,1.0
random,seed_20263948,90,B_relative_change,LOCAC,16,0.0
random,seed_20263948,90,B_relative_change,LOCA,15,1.0
random,seed_20263948,90,B_relative_change,LR,5,0.0
random,seed_20263948,90,B_relative_change,RI,7,1.0
random,seed_20263948,90,B_relative_change,SGATR,9,0.0
random,seed_20263948,90,B_relative_change,SGBTR,11,0.0
random,seed_20263948,90,B_relative_change,SLBIC,18,0.16666666666666666
random,seed_20263948,90,C_train_only_screened,FLB,20,1.0
random,seed_20263948,90,C_train_only_screened,LOCAC,16,0.0
random,seed_20263948,90,C_train_only_screened,LOCA,15,1.0
random,seed_20263948,90,C_train_only_screened,LR,5,0.0
random,seed_20263948,90,C_train_only_screened,RI,7,1.0
random,seed_20263948,90,C_train_only_screened,SGATR,9,0.0
random,seed_20263948,90,C_train_only_screened,SGBTR,11,0.0
random,seed_20263948,90,C_train_only_screened,SLBIC,18,0.16666666666666666
random,seed_20263948,120,A_absolute_38,FLB,20,1.0
random,seed_20263948,120,A_absolute_38,LOCAC,16,0.9375
random,seed_20263948,120,A_absolute_38,LOCA,15,1.0
random,seed_20263948,120,A_absolute_38,LR,5,1.0
random,seed_20263948,120,A_absolute_38,RI,7,1.0
random,seed_20263948,120,A_absolute_38,SGATR,9,1.0
random,seed_20263948,120,A_absolute_38,SGBTR,11,1.0
random,seed_20263948,120,A_absolute_38,SLBIC,18,1.0
random,seed_20263948,120,B_relative_change,FLB,20,1.0
random,seed_20263948,120,B_relative_change,LOCAC,16,0.9375
random,seed_20263948,120,B_relative_change,LOCA,15,1.0
random,seed_20263948,120,B_relative_change,LR,5,1.0
random,seed_20263948,120,B_relative_change,RI,7,1.0
random,seed_20263948,120,B_relative_change,SGATR,9,1.0
random,seed_20263948,120,B_relative_change,SGBTR,11,1.0
random,seed_20263948,120,B_relative_change,SLBIC,18,1.0
random,seed_20263948,120,C_train_only_screened,FLB,20,1.0
random,seed_20263948,120,C_train_only_screened,LOCAC,16,0.9375
random,seed_20263948,120,C_train_only_screened,LOCA,15,1.0
random,seed_20263948,120,C_train_only_screened,LR,5,1.0
random,seed_20263948,120,C_train_only_screened,RI,7,1.0
random,seed_20263948,120,C_train_only_screened,SGATR,9,1.0
random,seed_20263948,120,C_train_only_screened,SGBTR,11,1.0
random,seed_20263948,120,C_train_only_screened,SLBIC,18,1.0
random,seed_20264957,60,A_absolute_38,FLB,20,1.0
random,seed_20264957,60,A_absolute_38,LOCAC,16,0.0
random,seed_20264957,60,A_absolute_38,LOCA,15,1.0
random,seed_20264957,60,A_absolute_38,LR,5,0.0
random,seed_20264957,60,A_absolute_38,RI,7,1.0
random,seed_20264957,60,A_absolute_38,SGATR,9,0.0
random,seed_20264957,60,A_absolute_38,SGBTR,11,0.0
random,seed_20264957,60,A_absolute_38,SLBIC,18,0.1111111111111111
random,seed_20264957,60,B_relative_change,FLB,20,1.0
random,seed_20264957,60,B_relative_change,LOCAC,16,0.0
random,seed_20264957,60,B_relative_change,LOCA,15,1.0
random,seed_20264957,60,B_relative_change,LR,5,0.0
random,seed_20264957,60,B_relative_change,RI,7,1.0
random,seed_20264957,60,B_relative_change,SGATR,9,0.0
random,seed_20264957,60,B_relative_change,SGBTR,11,0.0
random,seed_20264957,60,B_relative_change,SLBIC,18,0.1111111111111111
random,seed_20264957,60,C_train_only_screened,FLB,20,1.0
random,seed_20264957,60,C_train_only_screened,LOCAC,16,0.0
random,seed_20264957,60,C_train_only_screened,LOCA,15,1.0
random,seed_20264957,60,C_train_only_screened,LR,5,0.0
random,seed_20264957,60,C_train_only_screened,RI,7,1.0
random,seed_20264957,60,C_train_only_screened,SGATR,9,0.0
random,seed_20264957,60,C_train_only_screened,SGBTR,11,0.0
random,seed_20264957,60,C_train_only_screened,SLBIC,18,0.1111111111111111
random,seed_20264957,90,A_absolute_38,FLB,20,1.0
random,seed_20264957,90,A_absolute_38,LOCAC,16,0.0
random,seed_20264957,90,A_absolute_38,LOCA,15,1.0
random,seed_20264957,90,A_absolute_38,LR,5,0.0
random,seed_20264957,90,A_absolute_38,RI,7,1.0
random,seed_20264957,90,A_absolute_38,SGATR,9,0.0
random,seed_20264957,90,A_absolute_38,SGBTR,11,0.0
random,seed_20264957,90,A_absolute_38,SLBIC,18,0.1111111111111111
random,seed_20264957,90,B_relative_change,FLB,20,1.0
random,seed_20264957,90,B_relative_change,LOCAC,16,0.0
random,seed_20264957,90,B_relative_change,LOCA,15,1.0
random,seed_20264957,90,B_relative_change,LR,5,0.0
random,seed_20264957,90,B_relative_change,RI,7,1.0
random,seed_20264957,90,B_relative_change,SGATR,9,0.0
random,seed_20264957,90,B_relative_change,SGBTR,11,0.0
random,seed_20264957,90,B_relative_change,SLBIC,18,0.1111111111111111
random,seed_20264957,90,C_train_only_screened,FLB,20,1.0
random,seed_20264957,90,C_train_only_screened,LOCAC,16,0.0
random,seed_20264957,90,C_train_only_screened,LOCA,15,1.0
random,seed_20264957,90,C_train_only_screened,LR,5,0.0
random,seed_20264957,90,C_train_only_screened,RI,7,1.0
random,seed_20264957,90,C_train_only_screened,SGATR,9,0.0
random,seed_20264957,90,C_train_only_screened,SGBTR,11,0.0
random,seed_20264957,90,C_train_only_screened,SLBIC,18,0.1111111111111111
random,seed_20264957,120,A_absolute_38,FLB,20,1.0
random,seed_20264957,120,A_absolute_38,LOCAC,16,1.0
random,seed_20264957,120,A_absolute_38,LOCA,15,1.0
random,seed_20264957,120,A_absolute_38,LR,5,1.0
random,seed_20264957,120,A_absolute_38,RI,7,0.8571428571428571
random,seed_20264957,120,A_absolute_38,SGATR,9,1.0
random,seed_20264957,120,A_absolute_38,SGBTR,11,1.0
random,seed_20264957,120,A_absolute_38,SLBIC,18,1.0
random,seed_20264957,120,B_relative_change,FLB,20,1.0
random,seed_20264957,120,B_relative_change,LOCAC,16,1.0
random,seed_20264957,120,B_relative_change,LOCA,15,1.0
random,seed_20264957,120,B_relative_change,LR,5,1.0
random,seed_20264957,120,B_relative_change,RI,7,0.8571428571428571
random,seed_20264957,120,B_relative_change,SGATR,9,1.0
random,seed_20264957,120,B_relative_change,SGBTR,11,1.0
random,seed_20264957,120,B_relative_change,SLBIC,18,1.0
random,seed_20264957,120,C_train_only_screened,FLB,20,1.0
random,seed_20264957,120,C_train_only_screened,LOCAC,16,1.0
random,seed_20264957,120,C_train_only_screened,LOCA,15,1.0
random,seed_20264957,120,C_train_only_screened,LR,5,1.0
random,seed_20264957,120,C_train_only_screened,RI,7,0.8571428571428571
random,seed_20264957,120,C_train_only_screened,SGATR,9,1.0
random,seed_20264957,120,C_train_only_screened,SGBTR,11,1.0
random,seed_20264957,120,C_train_only_screened,SLBIC,18,1.0
random,seed_20265966,60,A_absolute_38,FLB,20,1.0
random,seed_20265966,60,A_absolute_38,LOCAC,16,0.0
random,seed_20265966,60,A_absolute_38,LOCA,15,1.0
random,seed_20265966,60,A_absolute_38,LR,5,0.0
random,seed_20265966,60,A_absolute_38,RI,7,1.0
random,seed_20265966,60,A_absolute_38,SGATR,9,0.0
random,seed_20265966,60,A_absolute_38,SGBTR,11,0.0
random,seed_20265966,60,A_absolute_38,SLBIC,18,0.2222222222222222
random,seed_20265966,60,B_relative_change,FLB,20,1.0
random,seed_20265966,60,B_relative_change,LOCAC,16,0.0
random,seed_20265966,60,B_relative_change,LOCA,15,1.0
random,seed_20265966,60,B_relative_change,LR,5,0.0
random,seed_20265966,60,B_relative_change,RI,7,1.0
random,seed_20265966,60,B_relative_change,SGATR,9,0.0
random,seed_20265966,60,B_relative_change,SGBTR,11,0.0
random,seed_20265966,60,B_relative_change,SLBIC,18,0.2222222222222222
random,seed_20265966,60,C_train_only_screened,FLB,20,1.0
random,seed_20265966,60,C_train_only_screened,LOCAC,16,0.0
random,seed_20265966,60,C_train_only_screened,LOCA,15,1.0
random,seed_20265966,60,C_train_only_screened,LR,5,0.0
random,seed_20265966,60,C_train_only_screened,RI,7,1.0
random,seed_20265966,60,C_train_only_screened,SGATR,9,0.0
random,seed_20265966,60,C_train_only_screened,SGBTR,11,0.0
random,seed_20265966,60,C_train_only_screened,SLBIC,18,0.2222222222222222
random,seed_20265966,90,A_absolute_38,FLB,20,1.0
random,seed_20265966,90,A_absolute_38,LOCAC,16,0.0
random,seed_20265966,90,A_absolute_38,LOCA,15,1.0
random,seed_20265966,90,A_absolute_38,LR,5,0.0
random,seed_20265966,90,A_absolute_38,RI,7,1.0
random,seed_20265966,90,A_absolute_38,SGATR,9,0.0
random,seed_20265966,90,A_absolute_38,SGBTR,11,0.0
random,seed_20265966,90,A_absolute_38,SLBIC,18,0.2222222222222222
random,seed_20265966,90,B_relative_change,FLB,20,1.0
random,seed_20265966,90,B_relative_change,LOCAC,16,0.0
random,seed_20265966,90,B_relative_change,LOCA,15,1.0
random,seed_20265966,90,B_relative_change,LR,5,0.0
random,seed_20265966,90,B_relative_change,RI,7,1.0
random,seed_20265966,90,B_relative_change,SGATR,9,0.0
random,seed_20265966,90,B_relative_change,SGBTR,11,0.0
random,seed_20265966,90,B_relative_change,SLBIC,18,0.2222222222222222
random,seed_20265966,90,C_train_only_screened,FLB,20,1.0
random,seed_20265966,90,C_train_only_screened,LOCAC,16,0.0
random,seed_20265966,90,C_train_only_screened,LOCA,15,1.0
random,seed_20265966,90,C_train_only_screened,LR,5,0.0
random,seed_20265966,90,C_train_only_screened,RI,7,1.0
random,seed_20265966,90,C_train_only_screened,SGATR,9,0.0
random,seed_20265966,90,C_train_only_screened,SGBTR,11,0.0
random,seed_20265966,90,C_train_only_screened,SLBIC,18,0.2222222222222222
random,seed_20265966,120,A_absolute_38,FLB,20,1.0
random,seed_20265966,120,A_absolute_38,LOCAC,16,1.0
random,seed_20265966,120,A_absolute_38,LOCA,15,1.0
random,seed_20265966,120,A_absolute_38,LR,5,1.0
random,seed_20265966,120,A_absolute_38,RI,7,1.0
random,seed_20265966,120,A_absolute_38,SGATR,9,1.0
random,seed_20265966,120,A_absolute_38,SGBTR,11,1.0
random,seed_20265966,120,A_absolute_38,SLBIC,18,1.0
random,seed_20265966,120,B_relative_change,FLB,20,1.0
random,seed_20265966,120,B_relative_change,LOCAC,16,1.0
random,seed_20265966,120,B_relative_change,LOCA,15,1.0
random,seed_20265966,120,B_relative_change,LR,5,1.0
random,seed_20265966,120,B_relative_change,RI,7,1.0
random,seed_20265966,120,B_relative_change,SGATR,9,1.0
random,seed_20265966,120,B_relative_change,SGBTR,11,1.0
random,seed_20265966,120,B_relative_change,SLBIC,18,1.0
random,seed_20265966,120,C_train_only_screened,FLB,20,1.0
random,seed_20265966,120,C_train_only_screened,LOCAC,16,1.0
random,seed_20265966,120,C_train_only_screened,LOCA,15,1.0
random,seed_20265966,120,C_train_only_screened,LR,5,1.0
random,seed_20265966,120,C_train_only_screened,RI,7,1.0
random,seed_20265966,120,C_train_only_screened,SGATR,9,1.0
random,seed_20265966,120,C_train_only_screened,SGBTR,11,1.0
random,seed_20265966,120,C_train_only_screened,SLBIC,18,1.0
random,seed_20266975,60,A_absolute_38,FLB,20,1.0
random,seed_20266975,60,A_absolute_38,LOCAC,16,0.0
random,seed_20266975,60,A_absolute_38,LOCA,15,1.0
random,seed_20266975,60,A_absolute_38,LR,5,0.0
random,seed_20266975,60,A_absolute_38,RI,7,1.0
random,seed_20266975,60,A_absolute_38,SGATR,9,0.0
random,seed_20266975,60,A_absolute_38,SGBTR,11,0.0
random,seed_20266975,60,A_absolute_38,SLBIC,18,0.16666666666666666
random,seed_20266975,60,B_relative_change,FLB,20,1.0
random,seed_20266975,60,B_relative_change,LOCAC,16,0.0
random,seed_20266975,60,B_relative_change,LOCA,15,1.0
random,seed_20266975,60,B_relative_change,LR,5,0.0
random,seed_20266975,60,B_relative_change,RI,7,1.0
random,seed_20266975,60,B_relative_change,SGATR,9,0.0
random,seed_20266975,60,B_relative_change,SGBTR,11,0.0
random,seed_20266975,60,B_relative_change,SLBIC,18,0.16666666666666666
random,seed_20266975,60,C_train_only_screened,FLB,20,1.0
random,seed_20266975,60,C_train_only_screened,LOCAC,16,0.0
random,seed_20266975,60,C_train_only_screened,LOCA,15,1.0
random,seed_20266975,60,C_train_only_screened,LR,5,0.0
random,seed_20266975,60,C_train_only_screened,RI,7,1.0
random,seed_20266975,60,C_train_only_screened,SGATR,9,0.0
random,seed_20266975,60,C_train_only_screened,SGBTR,11,0.0
random,seed_20266975,60,C_train_only_screened,SLBIC,18,0.16666666666666666
random,seed_20266975,90,A_absolute_38,FLB,20,1.0
random,seed_20266975,90,A_absolute_38,LOCAC,16,0.0
random,seed_20266975,90,A_absolute_38,LOCA,15,1.0
random,seed_20266975,90,A_absolute_38,LR,5,0.0
random,seed_20266975,90,A_absolute_38,RI,7,1.0
