split_type,window_s,input_group,accident_class,support_mean,support_min,support_max,n_splits,n_evaluable_splits,recall_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high
random,60,A_strict_38,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,60,A_strict_38,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,60,A_strict_38,SLBOC,0.0,0,0,10,0,0,,,,
random,60,B_without_potential_leakage,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,60,B_without_potential_leakage,LLB,0.0,0,0,10,0,0,,,,
random,60,B_without_potential_leakage,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,60,B_without_potential_leakage,LOCAC,16.0,16,16,10,10,10,0.0,0.0,0.0,0.0
random,60,B_without_potential_leakage,LR,5.0,5,5,10,10,10,0.0,0.0,0.0,0.0
random,60,B_without_potential_leakage,MD,0.0,0,0,10,0,0,,,,
random,60,B_without_potential_leakage,RI,7.0,7,7,10,10,10,1.0,0.0,1.0,1.0
random,60,B_without_potential_leakage,RW,0.0,0,0,10,0,0,,,,
random,60,B_without_potential_leakage,SGATR,9.0,9,9,10,10,10,0.0,0.0,0.0,0.0
random,60,B_without_potential_leakage,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,60,B_without_potential_leakage,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,60,B_without_potential_leakage,SLBOC,0.0,0,0,10,0,0,,,,
random,60,C_without_SLBIC_initial,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,60,C_without_SLBIC_initial,LLB,0.0,0,0,10,0,0,,,,
random,60,C_without_SLBIC_initial,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,60,C_without_SLBIC_initial,LOCAC,16.0,16,16,10,10,10,0.0,0.0,0.0,0.0
random,60,C_without_SLBIC_initial,LR,5.0,5,5,10,10,10,0.0,0.0,0.0,0.0
random,60,C_without_SLBIC_initial,MD,0.0,0,0,10,0,0,,,,
random,60,C_without_SLBIC_initial,RI,7.0,7,7,10,10,10,1.0,0.0,1.0,1.0
random,60,C_without_SLBIC_initial,RW,0.0,0,0,10,0,0,,,,
random,60,C_without_SLBIC_initial,SGATR,9.0,9,9,10,10,10,0.0,0.0,0.0,0.0
random,60,C_without_SLBIC_initial,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,60,C_without_SLBIC_initial,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,60,C_without_SLBIC_initial,SLBOC,0.0,0,0,10,0,0,,,,
random,90,A_strict_38,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,90,A_strict_38,LLB,0.0,0,0,10,0,0,,,,
random,90,A_strict_38,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,90,A_strict_38,LOCAC,16.0,16,16,10,10,10,0.0,0.0,0.0,0.0
random,90,A_strict_38,LR,5.0,5,5,10,10,10,0.0,0.0,0.0,0.0
random,90,A_strict_38,MD,0.0,0,0,10,0,0,,,,
random,90,A_strict_38,RI,7.0,7,7,10,10,10,1.0,0.0,1.0,1.0
random,90,A_strict_38,RW,0.0,0,0,10,0,0,,,,
random,90,A_strict_38,SGATR,9.0,9,9,10,10,10,0.0,0.0,0.0,0.0
random,90,A_strict_38,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,90,A_strict_38,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,90,A_strict_38,SLBOC,0.0,0,0,10,0,0,,,,
random,90,B_without_potential_leakage,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,90,B_without_potential_leakage,LLB,0.0,0,0,10,0,0,,,,
random,90,B_without_potential_leakage,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,90,B_without_potential_leakage,LOCAC,16.0,16,16,10,10,10,0.0,0.0,0.0,0.0
random,90,B_without_potential_leakage,LR,5.0,5,5,10,10,10,0.0,0.0,0.0,0.0
random,90,B_without_potential_leakage,MD,0.0,0,0,10,0,0,,,,
random,90,B_without_potential_leakage,RI,7.0,7,7,10,10,10,1.0,0.0,1.0,1.0
random,90,B_without_potential_leakage,RW,0.0,0,0,10,0,0,,,,
random,90,B_without_potential_leakage,SGATR,9.0,9,9,10,10,10,0.0,0.0,0.0,0.0
random,90,B_without_potential_leakage,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,90,B_without_potential_leakage,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,90,B_without_potential_leakage,SLBOC,0.0,0,0,10,0,0,,,,
random,90,C_without_SLBIC_initial,FLB,20.0,20,20,10,10,10,1.0,0.0,1.0,1.0
random,90,C_without_SLBIC_initial,LLB,0.0,0,0,10,0,0,,,,
random,90,C_without_SLBIC_initial,LOCA,15.0,15,15,10,10,10,1.0,0.0,1.0,1.0
random,90,C_without_SLBIC_initial,LOCAC,16.0,16,16,10,10,10,0.0,0.0,0.0,0.0
random,90,C_without_SLBIC_initial,LR,5.0,5,5,10,10,10,0.0,0.0,0.0,0.0
random,90,C_without_SLBIC_initial,MD,0.0,0,0,10,0,0,,,,
random,90,C_without_SLBIC_initial,RI,7.0,7,7,10,10,10,1.0,0.0,1.0,1.0
random,90,C_without_SLBIC_initial,RW,0.0,0,0,10,0,0,,,,
random,90,C_without_SLBIC_initial,SGATR,9.0,9,9,10,10,10,0.0,0.0,0.0,0.0
random,90,C_without_SLBIC_initial,SGBTR,11.0,11,11,10,10,10,0.0,0.0,0.0,0.0
random,90,C_without_SLBIC_initial,SLBIC,18.0,18,18,10,10,10,0.15,0.06953697539080958,0.10690053612852904,0.19309946387147095
random,90,C_without_SLBIC_initial,SLBOC,0.0,0,0,10,0,0,,,,
